ลำดับ,อาชีพในปัจจุบัน ท่านทำมานานเท่าใด,ก่อนหน้าที่ท่านทำงานในปัจจุบันท่านเคยทำงาน/ประกอบอาชีพหรือไม่,ท่านอยากทำงานในระบบหรือองค์กรณ์ที่มีระบบสวัสดิการหรือไม่,ท่านเคยโดนดูถูก / ไม่ได้รับการยอมรับจากการทำงานหรือไม่,อะไรคือความสำเร็จในชีวิตการทำงานในอนาคตของท่าน,อื่นๆ
19404,,เคย,ไม่อยาก,,,นวดแผนไทย
34948,10,เคย,อยาก,ไม่เคย,รายได้เพิ่มขึ้น,นวดแผนโบราณ
67177,6,ไม่เคยทำงานมาก่อน,ไม่อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,นวดแผนโบราณ
80672,,ไม่เคยทำงานมาก่อน,อยาก,ไม่เคย,รายได้เพิ่มขึ้น,นวดแผนไทย
80679,,ไม่เคยทำงานมาก่อน,อยาก,,รายได้เพิ่มขึ้น,นวดแผนไทย
110744,18,เคย,ไม่อยาก,ไม่เคย,หมดภาระหนี้สิน,นวดแผนโบราณ
136686,,เคย,ไม่อยาก,,หมดภาระหนี้สิน,นวดแผนไทย
139320,10,ไม่เคยทำงานมาก่อน,อยาก,เคย,ไม่ได้ตั้งเป้าหมาย,งานนวด
139987,13,เคย,ไม่อยาก,ไม่เคย,ได้รับการยอมรับ/ยกย่อง,นวดแผนไทย
140765,6,ไม่เคยทำงานมาก่อน,ไม่อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,นวดแผนไทย
141896,10,เคย,ไม่อยาก,ไม่เคย,รายได้เพิ่มขึ้น,นวด
142495,6,เคย,อยาก,,ไม่ได้ตั้งเป้าหมาย,นวดแผนไทย
142532,30,ไม่เคยทำงานมาก่อน,อยาก,ไม่เคย,รายได้เพิ่มขึ้น,นวดแผนไทย
143899,,ไม่เคยทำงานมาก่อน,ไม่อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,นวดแผนไทย
143958,2,เคย,ไม่อยาก,เคย,บุตรหลานสำเร็จการศึกษา,นวดแผนโบราณ
144490,,ไม่เคยทำงานมาก่อน,ไม่อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,นวดแผนไทย
144603,,ไม่เคยทำงานมาก่อน,ไม่อยาก,,,นวดทั่วไป
145831,30,ไม่เคยทำงานมาก่อน,ไม่อยาก,ไม่เคย,รายได้เพิ่มขึ้น,นวดแผนโบราณ
145838,30,ไม่เคยทำงานมาก่อน,ไม่อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,นวดแผนโบราณ
145927,2,ไม่เคยทำงานมาก่อน,ไม่อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,นวดแผนโบราณ
146608,6,ไม่เคยทำงานมาก่อน,ไม่อยาก,,,นวดแผนโบราณ
152614,15,ไม่เคยทำงานมาก่อน,ไม่อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,นวด
155229,10,ไม่เคยทำงานมาก่อน,อยาก,เคย,บุตรหลานสำเร็จการศึกษา,นวดแผนไทย
156558,7,ไม่เคยทำงานมาก่อน,อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,ลูกจ้างนวดเเผนไทย
160812,10,เคย,อยาก,ไม่เคย,หมดภาระหนี้สิน,เปิดร้านนวดเพื่อสุขภาพ
161882,10,เคย,อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,นวดแผนโบราณ
161993,,เคย,ไม่อยาก,ไม่เคย,หมดภาระหนี้สิน,นวดแผนไทย
162337,5,ไม่เคยทำงานมาก่อน,ไม่อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,หมอนวด
165613,,ไม่เคยทำงานมาก่อน,ไม่อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,นวดแผนไทย
168489,1,เคย,ไม่อยาก,ไม่เคย,บุตรหลานสำเร็จการศึกษา,พนักงานนวด
169440,4,ไม่เคยทำงานมาก่อน,อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,นวดแผนไทย
169450,4,ไม่เคยทำงานมาก่อน,อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,นวดแผนไทย
169536,4,ไม่เคยทำงานมาก่อน,อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,นวดแผนไทย
169566,1,เคย,ไม่อยาก,ไม่เคย,หมดภาระหนี้สิน,นวดแผนไทย
174108,5,เคย,ไม่อยาก,ไม่เคย,ไม่ได้ตั้งเป้าหมาย,นวด
178498,7,ไม่เคยทำงานมาก่อน,อยาก,เคย,ไม่ได้ตั้งเป้าหมาย,นวดแผนไทย
